Date,Time,Open,High,Low,Close,Volume,,,,,,20240101,230100
1/2/2024,3:25 AM,17005.5,17006,17005.25,17005.75,78,,,,,,20240102,32600
1/2/2024,3:26 AM,17005.5,17005.5,17004.5,17005.5,42,,,,,,20240102,32700
1/2/2024,3:27 AM,17005.5,17007,17005.5,17007,77,,,,,,20240102,32800
1/2/2024,3:28 AM,17007,17007.5,17006.25,17007.5,85,,,,,,20240102,32900
1/2/2024,3:29 AM,17007.5,17008.25,17007,17007.75,102,,,,,,20240102,33000
1/2/2024,3:30 AM,17007.75,17010,17007.75,17009.25,131,,,,,,20240102,33100
1/2/2024,3:31 AM,17009.25,17010.5,17009,17009,56,,,,,,20240102,33200
1/2/2024,3:32 AM,17009,17009.5,17007.5,17008.25,46,,,,,,20240102,33300
1/2/2024,3:33 AM,17008.5,17008.75,17008.25,17008.75,12,,,,,,20240102,33400
1/2/2024,3:34 AM,17008.75,17009.25,17008.5,17009.25,28,,,,,,20240102,33500
1/2/2024,3:35 AM,17009,17009,17008,17008,21,,,,,,20240102,33600
1/2/2024,3:36 AM,17008,17008.25,17006.75,17007,87,,,,,,20240102,33700
1/2/2024,3:37 AM,17007,17007.25,17005.25,17005.5,89,,,,,,20240102,33800
1/2/2024,3:38 AM,17005.75,17006,17004.5,17005,83,,,,,,20240102,33900
1/2/2024,3:39 AM,17004.5,17005.25,17003.5,17003.75,67,,,,,,20240102,34000
1/2/2024,3:40 AM,17003.5,17006,17003,17005.75,124,,,,,,20240102,34100
1/2/2024,3:41 AM,17005.75,17006,17005.25,17005.25,42,,,,,,20240102,34200
1/2/2024,3:42 AM,17006,17006,17005.25,17005.25,16,,,,,,20240102,34300
1/2/2024,3:43 AM,17005,17005.75,17005,17005.75,15,,,,,,20240102,34400
1/2/2024,3:44 AM,17005.5,17007,17005.25,17006.75,26,,,,,,20240102,34500
1/2/2024,3:45 AM,17006.75,17008,17006.25,17008,51,,,,,,20240102,34600
1/2/2024,3:46 AM,17007.75,17009.75,17007.25,17009.5,222,,,,,,20240102,34700
1/2/2024,3:47 AM,17009.25,17009.5,17008.25,17008.5,59,,,,,,20240102,34800
1/2/2024,3:48 AM,17008.5,17009.25,17008.5,17008.5,46,,,,,,20240102,34900
1/2/2024,3:49 AM,17008.5,17008.5,17007.75,17007.75,45,,,,,,20240102,35000
1/2/2024,3:50 AM,17008,17008,17007,17007.25,21,,,,,,20240102,35100
1/2/2024,3:51 AM,17007,17007.5,17005,17005,51,,,,,,20240102,35200
1/2/2024,3:52 AM,17005.25,17005.75,17004,17004,61,,,,,,20240102,35300
1/2/2024,3:53 AM,17004,17004.25,17002.5,17003.25,149,,,,,,20240102,35400
1/2/2024,3:54 AM,17003.5,17003.75,17002.25,17003,120,,,,,,20240102,35500
1/2/2024,3:55 AM,17003,17004.75,17002.5,17003.75,159,,,,,,20240102,35600
1/2/2024,3:56 AM,17003.75,17005.25,17003.75,17005.25,26,,,,,,20240102,35700
