,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Points,Futures PnL,Net Futures PnL
776,776,0,1.0,2024-02-29 08:45:00,17875.537375,0.0,2024-02-29 09:05:00,17851.2147,0.0,-24.322674999999435,-0.0013606681852270433,Long,Closed,776,-24.322674999999435,-48.64534999999887,-51.64534999999887
777,777,0,1.0,2024-02-29 09:39:00,17866.036425,0.0,2024-02-29 10:37:00,17864.71335,0.0,-1.3230749999966065,-7.405531750429119e-05,Long,Closed,777,-1.3230749999966065,-2.646149999993213,-5.646149999993213
778,778,0,1.0,2024-02-29 11:05:00,17881.287949999998,0.0,2024-02-29 11:42:00,17876.71215,0.0,-4.575799999998708,-0.0002558987927935419,Long,Closed,778,-4.575799999998708,-9.151599999997416,-12.151599999997416
779,779,0,1.0,2024-02-29 11:54:00,17891.038925,0.0,2024-02-29 12:10:00,17875.962225,0.0,-15.076700000001438,-0.0008426956122114321,Long,Closed,779,-15.076700000001438,-30.153400000002875,-33.153400000002875
780,780,0,1.0,2024-02-29 13:04:00,17869.536775,0.0,2024-02-29 13:27:00,17862.2136,0.0,-7.323175000001356,-0.0004098133651817259,Long,Closed,780,-7.323175000001356,-14.646350000002712,-17.646350000002712
781,781,0,1.0,2024-02-29 13:31:00,17938.29365,0.0,2024-02-29 15:13:00,18000.1998,0.0,61.90614999999889,0.0034510612440553337,Long,Closed,781,61.90614999999889,123.81229999999778,120.81229999999778
782,782,0,1.0,2024-02-29 17:01:00,17981.798,0.0,2024-02-29 17:37:00,17979.70185,0.0,-2.0961499999975786,-0.00011657065661607247,Long,Closed,782,-2.0961499999975786,-4.192299999995157,-7.192299999995157
783,783,0,1.0,2024-02-29 17:49:00,18000.799899999998,0.0,2024-02-29 18:45:00,18026.69715,0.0,25.897250000001804,0.0014386721781181407,Long,Closed,783,25.897250000001804,51.79450000000361,48.79450000000361
784,784,0,1.0,2024-02-29 18:57:00,18042.054025,0.0,2024-02-29 19:07:00,18023.447475,0.0,-18.606550000000425,-0.001031287788752779,Long,Closed,784,-18.606550000000425,-37.21310000000085,-40.21310000000085
785,785,0,1.0,2024-02-29 19:16:00,18047.054525,0.0,2024-02-29 19:31:00,18024.947325,0.0,-22.107199999998556,-0.0012249755199317523,Long,Closed,785,-22.107199999998556,-44.21439999999711,-47.21439999999711
786,786,0,1.0,2024-02-29 20:05:00,18035.30335,0.0,2024-02-29 21:09:00,18051.944625,0.0,16.64127500000177,0.0009227055778910295,Long,Closed,786,16.64127500000177,33.28255000000354,30.28255000000354
